row/col,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37
sample size (per node),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
h_21,—,1,3,3,3,3,3,2,2,2,2,3,3,3,3,3,0
h_22,2,—,3,3,3,3,3,2,2,2,1,3,3,3,3,3,0
h_23,0,0,—,3,3,3,3,0,2,1,0,3,3,3,3,3,0
h_24,0,0,0,—,3,3,3,0,2,0,0,3,3,3,3,1,0
h_25,0,0,0,0,—,2,0,0,0,0,0,3,2,1,1,1,0
h_26,0,0,0,0,1,—,0,0,0,0,0,3,1,1,1,1,0
h_27,0,0,0,0,3,3,—,0,2,0,0,3,3,3,3,1,0
h_28,1,1,3,3,3,3,3,—,3,3,2,3,3,3,3,3,1
h_29,1,1,1,1,3,3,1,0,—,1,1,3,3,3,1,1,1
h_30,1,1,2,3,3,3,3,0,2,—,0,3,3,3,3,3,1
h_31,1,2,3,3,3,3,3,1,2,3,—,3,3,3,3,3,1
h_32,0,0,0,0,0,0,0,0,0,0,0,—,1,1,1,1,0
h_33,0,0,0,0,1,2,0,0,0,0,0,2,—,1,0,0,0
h_34,0,0,0,0,2,2,0,0,0,0,0,2,2,—,0,0,0
h_35,0,0,0,0,2,2,0,0,2,0,0,2,3,3,—,1,0
h_36,0,0,0,2,2,2,2,0,2,0,0,2,3,3,2,—,0
h_37,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,—
column sum (excl. diag),9,9,18,24,38,40,27,7,23,14,8,44,42,40,33,28,4
column sum ÷ (16×3),0.19,0.19,0.38,0.5,0.79,0.83,0.56,0.15,0.48,0.29,0.17,0.92,0.88,0.83,0.69,0.58,0.083
