row/col,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37
sample size (per node),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
h_21,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_22,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_23,0,0,—,0,1.0000,0,0,0,0,0,0,0,0,0,0,0,0
h_24,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_25,0,0,1.0000,0,—,0,0,0,0,0,0,0,0,0,0,0,0
h_26,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_27,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_28,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_29,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_30,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_31,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
h_32,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000,1.0000
h_33,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000,1.0000
h_34,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000,1.0000
h_35,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000,1.0000
h_36,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—,1.0000
h_37,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,—
column sum (p<α & z>0),2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
